ORDER,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
1,466,466,0.00499895238649532,2.14564388449168,2.14064493210519,148.94389582072,0.319622094035879,0.238698329172635,0.302606859995363,0.00499895238649532,0.00499895238649532,0.0944794796124444,0.461900748265452,0.367421268653008
2,215,215,0.00499890838335461,1.54780669820687,1.54280778982351,78.0849836341659,0.363185970391469,0.295011835720597,0.282978450720535,0.00499890838335461,0.00499890838335461,0.176788227281666,0.500610794533392,0.323822567251726
3,113,113,0.00999822973511941,1.54092091324295,1.53092268350783,43.8854085968232,0.388366447759497,0.33015209456365,0.278788457120902,0.00999822973511941,0.00999822973511941,0.184820548038599,0.490167730090196,0.305347182051597
4,79,79,0.00706966862756795,1.12375754857101,1.11668787994344,21.1307765356845,0.267478183996006,0.233594192010144,0.215684373868006,0.00706966862756795,0.00706966862756795,0.107584248705925,0.342133751132071,0.234549502426146
5,38,38,0.0149973226113789,1.27217523967349,1.25717791706211,14.2901888609245,0.376057601603277,0.328183185387306,0.287542379953684,0.0149973226113789,0.0149973226113789,0.172752745018371,0.52511351211543,0.352360767097059
